,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
動画開始時刻,1,0.924,1.5,0.693,15,,18.909,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,46,18.117,1.6,0.396,16,6.72,,,,,,,3.3,11,,,,5,17,17,7,17,17,17,17,17
,47,18.513,1.7,0.132,17,7.4575,,,,,,,2.3,8,,,,4,17,17,17,15,6,17,17,17
,48,18.645,1.8,0.066,18,7.4575,,,,,,,1.3,17,,,,3,17,17,11,14,13,12,17,17
,49,18.711,1.7,0.066,17,7.4575,,,,,,,5.4,17,,,,2,17,17,8,3,1,2,9,17
,50,18.777,1.6,0.033,16,7.4575,,,,,,,4.4,15,,,,1,17,17,17,17,10,5,4,16
,51,18.81,2.5,0.693,25,10.03856097,,,,,,,3.4,14,,,,,,,,,,,,
,52,19.503,2.6,0.33,26,7.4575,,,,,,,2.4,3,,,,,,,,,,,,
,53,19.833,2.4,0.33,24,14.915,,,,,,,1.4,17,,,,,,,,,,,,
,54,20.163,2.3,0.165,23,7.4575,,,,,,,5.5,17,,,,,,,,,,,,
,55,20.328,2.4,0.193,24,7.4575,,,,,,,4.5,6,,,,,,,,,,,,
,56,20.521,2.4,,,,,,,,,,3.5,13,,,,,,,,,,,,
,観測時間［秒］,18.909,,,,,,,,,,,2.5,1,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.5,10,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.68,最大移動距離,16.36,,,,,,,5.6,17,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.34,平均移動距離,8.06,,,,,,,4.6,17,,,,,,,,,,,,
,,,,,距離標準偏差,2.03,,,,,,,3.6,12,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,2,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,1.6,5,,,,,,,,,,,,
,観察時間,18.909,秒,,9.9の秒数,0,,,,,,,5.7,17,,,,,,,,,,,,
,観察割合,1.005,,,0のカウント数,0,,,,,,,4.7,17,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,3.7,17,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,2.7,9,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,1.7,4,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,5.8,17,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,4.8,17,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,17,,,,,,,,,,,,
,,,,チェックデジット,18.909,,,,,,,,2.8,17,,,,,,,,,,,,
,,,,OK,18.909,,,,,,,,1.8,16,,,,,,,,,,,,
,,,,,18.909,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
