,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,45,15.444,1.5,0.066,15,7.4575,,,,,,,3.3,17,,,,5,21,21,21,6,12,21,21,21
,46,15.51,1.4,0.462,14,7.4575,,,,,,,2.3,10,,,,4,21,21,19,15,13,21,21,21
,47,15.972,1.5,0.132,15,7.4575,,,,,,,1.3,21,,,,3,21,21,17,7,8,21,21,21
,48,16.104,2.6,1.023,26,10.03856097,,,,,,,5.4,6,,,,2,21,18,10,5,2,1,9,21
,49,17.127,1.7,0.495,17,10.03856097,,,,,,,4.4,15,,,,1,20,15,21,10,14,3,4,21
,50,17.622,2.5,0.165,25,16.35896161,,,,,,,3.4,7,,,,,,,,,,,,
,51,17.787,2.4,0.561,24,7.4575,,,,,,,2.4,5,,,,,,,,,,,,
,52,18.348,2.5,0.231,25,7.4575,,,,,,,1.4,10,,,,,,,,,,,,
,53,18.579,2.6,0.528,26,7.4575,,,,,,,5.5,12,,,,,,,,,,,,
,54,19.107,2.5,0.165,25,7.4575,,,,,,,4.5,13,,,,,,,,,,,,
,55,19.272,2.4,0.165,24,7.4575,,,,,,,3.5,8,,,,,,,,,,,,
,56,19.437,2.3,0.462,23,7.4575,,,,,,,2.5,2,,,,,,,,,,,,
,57,19.899,2.4,0.066,24,7.4575,,,,,,,1.5,14,,,,,,,,,,,,
,58,19.965,2.5,0.297,25,7.4575,,,,,,,5.6,21,,,,,,,,,,,,
,59,20.262,1.6,0.259,16,10.03856097,,,,,,,4.6,21,,,,,,,,,,,,
,60,20.521,1.6,,,,,,,,,,3.6,21,,,,,,,,,,,,
,観測時間［s］,18.942,,,,,,,,,,,2.6,1,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.6,3,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.39,最大移動距離,45.25,,,,,,,5.7,21,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.29,平均移動距離,9.05,,,,,,,4.7,21,,,,,,,,,,,,
,,,,,距離標準偏差,5.45,,,,,,,3.7,21,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,9,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,1.7,4,,,,,,,,,,,,
,観察時間,18.942,秒,,9.9の秒数,0,,,,,,,5.8,21,,,,,,,,,,,,
,観察割合,1.007,,,0のカウント数,0,,,,,,,4.8,21,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,3.8,21,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,2.8,21,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,1.8,21,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,総計,40,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,18.942,,,,,,,,,,,,,,,,,,,,,
