,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.122,2.6,0.066,26,,18.942,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.188,2.7,0.429,27,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.617,2.5,0.66,25,14.915,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,44,44,83.01886792,,
,4,2.277,2.6,0.165,26,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,50,6,11.32075472,,
,5,2.442,2.5,0.033,25,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,52,2,3.773584906,,
,6,2.475,1.5,0.099,15,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,52,0,0,,
,7,2.574,1.4,0.165,14,7.4575,,,,,,,,,,,,,6,20,24,53,1,1.886792453,,
,8,2.739,1.5,0.033,15,7.4575,,,目視時間の分布（秒）,,18.942,,,,,,,,7,24,28,53,0,0,,
,9,2.772,1.6,0.561,16,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,53,0,0,,
,10,3.333,2.6,0.33,26,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,53,0,0,,
,11,3.663,1.7,0.33,17,10.03856097,,,4,0,0,0,0,0,0,0,0,,10,36,40,53,0,0,,
,12,3.993,1.8,0.561,18,7.4575,,,3,0,0,0,0,0,0,0,0,,11,40,44,53,0,0,,
,13,4.554,1.7,0.033,17,7.4575,,,2,0,0,1.399,1.307,3.069,2.046,1.089,0,,12,44,48,53,0,0,,
,14,4.587,2.6,0.495,26,10.03856097,,,1,0,0,0,0.198,1.188,3.927,4.158,0.561,,13,48,52,53,0,0,,
