,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,45,16.698,2.5,0.165,25,7.4575,,,,,,,3.3,16,,,,5,16,16,16,16,16,16,16,16
,46,16.863,2.6,0.132,26,7.4575,,,,,,,2.3,8,,,,4,16,16,12,10,15,14,16,16
,47,16.995,2.7,0.132,27,7.4575,,,,,,,1.3,16,,,,3,16,16,16,11,3,13,16,16
,48,17.127,2.6,0.066,26,7.4575,,,,,,,5.4,16,,,,2,16,9,8,7,6,1,4,16
,49,17.193,3.5,0.033,35,10.03856097,,,,,,,4.4,10,,,,1,16,16,16,16,16,5,2,16
,50,17.226,3.4,0.429,34,7.4575,,,,,,,3.4,11,,,,,,,,,,,,
,51,17.655,4.4,0.165,44,6.72,,,,,,,2.4,7,,,,,,,,,,,,
,52,17.82,3.4,0.099,34,6.72,,,,,,,1.4,16,,,,,,,,,,,,
,53,17.919,2.5,0.165,25,10.03856097,,,,,,,5.5,16,,,,,,,,,,,,
,54,18.084,2.6,0.561,26,7.4575,,,,,,,4.5,15,,,,,,,,,,,,
,55,18.645,1.6,0.099,16,6.72,,,,,,,3.5,3,,,,,,,,,,,,
,56,18.744,1.7,0.825,17,7.4575,,,,,,,2.5,6,,,,,,,,,,,,
,57,19.569,2.7,0.297,27,6.72,,,,,,,1.5,16,,,,,,,,,,,,
,58,19.866,1.7,0.495,17,6.72,,,,,,,5.6,16,,,,,,,,,,,,
,59,20.361,2.6,0.528,26,10.03856097,,,,,,,4.6,14,,,,,,,,,,,,
,60,20.889,2.5,0.132,25,7.4575,,,,,,,3.6,13,,,,,,,,,,,,
,61,21.021,2.5,,25,,,,,,,,2.6,1,,,,,,,,,,,,
,観測時間［秒］,18.81,,,,,,,,,,,1.6,5,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,5.7,16,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.58,最大移動距離,23.36,,,,,,,4.7,16,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.32,平均移動距離,8.51,,,,,,,3.7,16,,,,,,,,,,,,
,,,,,距離標準偏差,3.32,,,,,,,2.7,4,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,2,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,5.8,16,,,,,,,,,,,,
,観察時間,18.81,秒,,9.9の秒数,0,,,,,,,4.8,16,,,,,,,,,,,,
,観察割合,1.000,,,0のカウント数,0,,,,,,,3.8,16,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,2.8,16,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,1.8,16,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,総計,40,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
