,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,45,29.271,3.6,0.396,36,6.72,,,,,,,3.3,4,,,,5,20,20,20,20,20,20,20,20
,46,29.667,3.5,0.726,35,7.4575,,,,,,,2.3,5,,,,4,20,20,12,20,18,20,20,20
,47,30.393,3.4,0.627,34,7.4575,,,,,,,1.3,19,,,,3,20,13,4,2,1,16,11,15
,48,31.02,3.4,,,,,,,,,,5.4,20,,,,2,20,3,5,20,17,8,10,20
,観測時間［秒］,28.413,,,,,,,,,,,4.4,20,,,,1,20,7,19,20,20,9,13,6
,,,,,最少移動距離,6.72,,,,,,,3.4,2,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.82,最大移動距離,45.25,,,,,,,2.4,20,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.35,平均移動距離,14.45,,,,,,,1.4,20,,,,,,,,,,,,
,,,,,距離標準偏差,10.64,,,,,,,5.5,20,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,18,,,,,,,,,,,,
,原本再生時間,28.245,秒,,9.9のカウント数,1,,,,,,,3.5,1,,,,,,,,,,,,
,観察時間,28.413,秒,,9.9の秒数,0.528,,,,,,,2.5,17,,,,,,,,,,,,
,観察割合,1.006,,,0のカウント数,0,,,,,,,1.5,20,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,5.6,20,,,,,,,,,,,,
,総ロスト時間［秒］,0.528,,原本再生に占める9.9の割合,,0.019,,,,,,,4.6,20,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.019,,観察時間に占める9.9の割合,,0.019,,,,,,,3.6,16,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.019,,原本再生に占める0の割合,,0.000,,,,,,,2.6,8,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,1.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,20,,,,,,,,,,,,
,,,,チェックデジット,27.885,,,,,,,,4.7,20,,,,,,,,,,,,
,,,,OK,27.885,,,,,,,,3.7,11,,,,,,,,,,,,
,,,,,27.885,,,,,,,,2.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,15,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,6,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
