,,0.66,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,46,21.549,4.3,0.33,43,6.72,,,,,,,2.3,15,,,,4,16,3,1,5,11,17,17,17
,47,21.879,4.2,0.33,42,7.4575,,,,,,,1.3,17,,,,3,14,12,2,6,8,17,17,17
,48,22.209,4.3,1.881,43,7.4575,,,,,,,5.4,17,,,,2,17,13,15,7,9,17,17,17
,49,24.09,4.4,0.297,44,7.4575,,,,,,,4.4,5,,,,1,17,17,17,17,17,17,17,17
,50,24.387,3.4,0.033,34,6.72,,,,,,,3.4,6,,,,,,,,,,,,
,51,24.42,2.4,0.132,24,6.72,,,,,,,2.4,7,,,,,,,,,,,,
,52,24.552,2.5,0.198,25,7.4575,,,,,,,1.4,17,,,,,,,,,,,,
,53,24.75,3.5,0.594,35,6.72,,,,,,,5.5,17,,,,,,,,,,,,
,54,25.344,3.4,0.594,34,7.4575,,,,,,,4.5,11,,,,,,,,,,,,
,55,25.938,3.3,0.132,33,7.4575,,,,,,,3.5,8,,,,,,,,,,,,
,56,26.07,4.3,1.221,43,6.72,,,,,,,2.5,9,,,,,,,,,,,,
,57,27.291,3.3,0.099,33,6.72,,,,,,,1.5,17,,,,,,,,,,,,
,58,27.39,4.3,1.386,43,6.72,,,,,,,5.6,17,,,,,,,,,,,,
,59,28.776,5.3,0.825,53,6.72,,,,,,,4.6,17,,,,,,,,,,,,
,60,29.601,4.3,0.594,43,6.72,,,,,,,3.6,17,,,,,,,,,,,,
,61,30.195,4.2,0.528,42,7.4575,,,,,,,2.6,17,,,,,,,,,,,,
,62,30.723,4.3,1.881,43,7.4575,,,,,,,1.6,17,,,,,,,,,,,,
,63,32.604,4.2,0.099,42,7.4575,,,,,,,5.7,17,,,,,,,,,,,,
,64,32.703,4.1,0.033,41,7.4575,,,,,,,4.7,17,,,,,,,,,,,,
,65,32.736,3.1,0.231,31,6.72,,,,,,,3.7,17,,,,,,,,,,,,
,66,32.967,3.2,0.198,32,7.4575,,,,,,,2.7,17,,,,,,,,,,,,
,67,33.165,3.3,0.264,33,7.4575,,,,,,,1.7,17,,,,,,,,,,,,
,68,33.429,4.3,1.584,43,6.72,,,,,,,5.8,17,,,,,,,,,,,,
,69,35.013,3.2,0.033,32,10.03856097,,,,,,,4.8,17,,,,,,,,,,,,
,70,35.046,2.1,0.033,21,10.03856097,,,,,,,3.8,17,,,,,,,,,,,,
,71,35.079,1.1,0.099,11,6.72,,,,,,,2.8,17,,,,,,,,,,,,
,72,35.178,2.2,0.066,22,10.03856097,,,,,,,1.8,17,,,,,,,,,,,,
,73,35.244,3.2,0.132,32,6.72,,,,,,総計,40,,,,,,,,,,,,,
,74,35.376,4.3,0.495,43,10.03856097,,,,,,,,,,,,,,,,,,,,
,75,35.871,9.9 ,0.165,99,,,,,,,,,,,,,,,,,,,,,
,76,36.036,9.9,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,30.987,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.74,最大移動距離,15.37,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.51,平均移動距離,7.38,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,1.44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,2,,,,,,,,,,,,,,,,,,,,
,観察時間,30.987,秒,,9.9の秒数,0.495,,,,,,,,,,,,,,,,,,,,
,観察割合,0.991,,,0のカウント数,1,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0.627,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,1.122,,原本再生に占める9.9の割合,,0.016,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.036,,観察時間に占める9.9の割合,,0.016,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.036,,原本再生に占める0の割合,,0.020,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.020,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,29.865,,,,,,,,,,,,,,,,,,,,,
,,,,OK,29.865,,,,,,,,,,,,,,,,,,,,,
,,,,,29.865,,,,,,,,,,,,,,,,,,,,,
