エラー,15.976,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.759,9.9,0.495,,,28.644,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.254,4.4,0.099,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.353,9.9,0.297,99,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,6,6,42.85714286,,
,4,1.65,4.4,0.66,44,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,7,1,7.142857143,,
,5,2.31,9.9,4.03,99,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,8,1,7.142857143,,
,6,6.34,4.4,0.293,44,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,9,1,7.142857143,,
,7,6.633,4.3,0.33,43,7.4575,,,,,,,,,,,,,6,20,24,10,1,7.142857143,,
,8,6.963,9.9,0.792,99,,,,目視時間の分布（秒）,,12.272,,,,,,,,7,24,28,11,1,7.142857143,,
,9,7.755,5.6,1.023,56,,,,,1,2,3,4,5,6,7,8,,8,28,32,12,1,7.142857143,,
,10,8.778,5.7,0.165,57,7.4575,,,5,0,0,0,0,0,1.386,1.452,0,,9,32,36,12,0,0,,
,11,8.943,9.9,0.495,99,,,,4,0,0,0.33,1.052,0,0,0,0,,10,36,40,12,0,0,,
,12,9.438,2.3,0.297,23,,,,3,0.957,0.726,0,0.94,0,0,0,0,,11,40,44,12,0,0,,
,13,9.735,1.6,0.99,16,23.35994769,,,2,0.198,0.776,1.188,0,0,0,0,0,,12,44,48,14,2,14.28571429,,
,14,10.725,1.7,0.33,17,7.4575,,,1,0,0.858,0.66,0.429,0,0.99,0.33,0,,13,48,52,14,0,0,,
,15,11.055,3.1,0.594,31,46.71989539,,,,,,,,,,,,,14,52,56,14,0,0,,
,16,11.649,1.4,0.429,14,26.09908727,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,14,0,0,,
,17,12.078,1.3,0.66,13,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,14,0,0,,
,18,12.738,3.2,0.726,32,15.37035804,,,5,0.0,0.0,0.0,0.0,0.0,11.3,11.8,0.0,,17,64,68,14,0,0,,
,19,13.464,2.2,0.776,22,6.72,,,4,0.0,0.0,2.7,8.6,0.0,0.0,0.0,0.0,,18,68,72,14,0,0,,
,20,14.24,3.4,0.94,34,16.35896161,,,3,7.8,5.9,0.0,7.7,0.0,0.0,0.0,0.0,,19,72,76,14,0,0,,
,21,15.18,9.9,0.99,99,,,,2,1.6,6.3,9.7,0.0,0.0,0.0,0.0,0.0,,20,76,80,14,0,0,,
,22,16.17,2.1,0.198,21,,,,1,0.0,7.0,5.4,3.5,0.0,8.1,2.7,0.0,,,,,,,100,,
,23,16.368,3.1,0.363,31,6.72,,,,,,,,,,,,,,,,,,,,
,24,16.731,9.9,0.099,99,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,16.83,2.3,0.33,23,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,17.16,9.9,0.462,99,,,,5,16,16,16,16,16,2,1,16,,,,,,,,,
,27,17.622,5.6,0.363,56,,,,4,16,16,13,4,16,16,16,16,,,,,,,,,
,28,17.985,2.3,0.561,23,30.1156829,,,3,6,10,16,7,16,16,16,16,,,,,,,,,
