2.046,9.9,1.683,,
3.729,2.3,0.792,23,
4.521,3.2,0.495,32,10.03856097
5.016,3.5,0.297,35,22.3725
5.313,4.4,0.528,44,10.03856097
5.841,5.7,0.561,57,23.35994769
6.402,0,0.231,0,
6.633,4.6,0.495,46,
7.128,0,0.528,0,
7.656,4.8,1.353,48,
9.009,3.8,0.264,38,6.72
9.273,4.8,0.594,48,6.72
9.867,2.8,0.561,28,13.44
10.428,3.5,0.594,35,23.35994769
11.022,2.3,1.089,23,16.35896161
12.111,1.6,0.165,16,23.35994769
12.276,1.7,0.462,17,7.4575
12.738,3.5,0.33,35,20.07712193
13.068,2.3,0.693,23,16.35896161
13.761,2.4,0.132,24,7.4575
13.893,2.3,0.627,23,7.4575
14.52,1.3,0.594,13,6.72
15.114,3.3,0.198,33,13.44
15.312,2.3,0.099,23,6.72
15.411,3.4,0.825,34,10.03856097
16.236,1.3,0.495,13,15.37035804
16.731,3.4,1.122,34,15.37035804
17.853,3.2,0.528,32,14.915
18.381,4.2,0.528,42,6.72
18.909,4.5,0.396,45,22.3725
19.305,3.5,0.264,35,6.72
19.569,1.7,0.297,17,20.07712193
19.866,3.6,0.462,36,15.37035804
20.328,4.6,1.023,46,6.72
21.351,4.4,0.165,44,14.915
21.516,5.5,0.198,55,10.03856097
21.714,5.3,0.33,53,14.915
22.044,5.4,1.452,54,7.4575
23.496,3.3,0.594,33,15.37035804
24.09,1.2,1.056,12,15.37035804
25.146,3.3,0.792,33,15.37035804
25.938,3.6,0.957,36,22.3725
26.895,3.5,0.957,35,7.4575
27.852,3.6,0.396,36,7.4575
28.248,4.6,0.825,46,6.72
29.073,3.4,1.32,34,16.35896161
30.393,3.3,0.033,33,7.4575
30.426,3.3,,,
2.475,9.9,0.231,,
2.706,1.5,0.198,15,
2.904,1.4,0.429,14,7.4575
3.333,2.3,0.858,23,10.03856097
4.191,3.5,0.495,35,16.35896161
4.686,3.4,0.693,34,7.4575
5.379,4.3,0.165,43,10.03856097
5.544,3.4,1.254,34,10.03856097
6.798,1.3,0.363,13,15.37035804
7.161,2.3,0.726,23,6.72
7.887,3.4,0.429,34,10.03856097
8.316,3.5,0.429,35,7.4575
8.745,2.3,1.782,23,16.35896161
10.527,3.7,0.462,37,30.57756203
10.989,4.7,1.353,47,6.72
12.342,4.3,0.363,43,29.83
12.705,4.1,0.363,41,14.915
13.068,3.1,0.264,31,6.72
13.332,1.3,0.858,13,20.07712193
14.19,1.7,0.495,17,29.83
14.685,3.5,0.396,35,20.07712193
15.081,3.4,0.825,34,7.4575
15.906,4.5,0.363,45,10.03856097
16.269,5.5,0.66,55,6.72
16.929,5.6,0.363,56,7.4575
17.292,5.8,0.594,58,14.915
17.886,5.5,0.363,55,22.3725
18.249,5.4,1.023,54,7.4575
19.272,5.1,0.297,51,22.3725
19.569,4.4,0.627,44,23.35994769
20.196,3.6,0.792,36,16.35896161
20.988,3.3,1.584,33,22.3725
22.572,3.5,0.825,35,14.915
23.397,1.2,0.627,12,26.09908727
24.024,1.8,0.33,18,44.745
24.354,3.5,1.056,35,26.09908727
25.41,3.4,0.429,34,7.4575
25.839,3.3,2.145,33,7.4575
27.984,1.4,0.462,14,15.37035804
28.446,0,0.726,0,
29.172,2.4,0.495,24,
29.667,3.5,1.485,35,10.03856097
31.152,3.5,,,
1.353,4.5,2.673,45,
4.026,3.5,0.033,35,6.72
4.059,3.4,0.429,34,7.4575
4.488,2.4,0.033,24,6.72
4.521,2.3,1.386,23,7.4575
5.907,2.4,0.066,24,7.4575
5.973,2.5,0.033,25,7.4575
6.006,2.6,1.122,26,7.4575
7.128,2.5,0.066,25,7.4575
7.194,3.3,0.066,33,16.35896161
7.26,3.2,0.726,32,7.4575
7.986,3.3,0.495,33,7.4575
8.481,3.2,0.726,32,7.4575
9.207,4.3,0.033,43,10.03856097
9.24,4.4,0.099,44,7.4575
9.339,4.5,0.297,45,7.4575
9.636,5.5,0.297,55,6.72
9.933,4.5,0.132,45,6.72
10.065,4.6,0.264,46,7.4575
10.329,4.4,0.099,44,14.915
10.428,5.3,0.231,53,10.03856097
10.659,5.4,0.165,54,7.4575
10.824,5.5,0.33,55,7.4575
11.154,5.6,0.594,56,7.4575
11.748,5.5,0.165,55,7.4575
11.913,5.4,0.033,54,7.4575
11.946,5.3,0.066,53,7.4575
12.012,5.2,0.264,52,7.4575
12.276,5.1,0.858,51,7.4575
13.134,5.2,0.099,52,7.4575
13.233,5.3,0.033,53,7.4575
13.266,5.4,0.165,54,7.4575
13.431,5.5,1.089,55,7.4575
14.52,5.4,0.165,54,7.4575
14.685,5.3,0.165,53,7.4575
14.85,3.3,0.165,33,13.44
15.015,2.3,0.693,23,6.72
15.708,2.2,0.297,22,7.4575
16.005,3.2,0.198,32,6.72
16.203,2.2,0.297,22,6.72
16.5,2.1,0.066,21,7.4575
16.566,3.1,0.396,31,6.72
16.962,3.2,0.165,32,7.4575
17.127,3.3,0.033,33,7.4575
17.16,3.4,0.297,34,7.4575
17.457,3.5,0.495,35,7.4575
17.952,2.5,0.033,25,6.72
17.985,2.6,0.165,26,7.4575
18.15,2.7,0.495,27,7.4575
18.645,3.7,0.066,37,6.72
18.711,3.6,0.165,36,7.4575
18.876,3.5,0.693,35,7.4575
19.569,3.4,0.231,34,7.4575
19.8,3.3,0.33,33,7.4575
20.13,3.2,0.231,32,7.4575
20.361,4.2,1.023,42,6.72
21.384,5.3,0.132,53,10.03856097
21.516,5.4,0.132,54,7.4575
21.648,5.5,0.099,55,7.4575
21.747,5.6,0.396,56,7.4575
22.143,5.5,0.132,55,7.4575
22.275,5.6,0.165,56,7.4575
22.44,5.7,0.297,57,7.4575
22.737,4.6,0.165,46,10.03856097
22.902,4.5,0.627,45,7.4575
23.529,4.6,0.198,46,7.4575
23.727,3.7,0.264,37,10.03856097
23.991,2.8,0.231,28,10.03856097
24.222,4.7,0.363,47,15.37035804
24.585,4.4,0.198,44,22.3725
24.783,3.3,0.264,33,10.03856097
25.047,4.2,0.264,42,10.03856097
25.311,5.2,0.363,52,6.72
25.674,5.3,0.165,53,7.4575
25.839,5.4,0.33,54,7.4575
26.169,5.3 ,0.561,53,7.4575
26.73,4.3,0.066,43,6.72
26.796,4.4,0.132,44,7.4575
26.928,3.3,0.297,33,10.03856097
27.225,3.2,0.165,32,7.4575
27.39,3.1,0.957,31,7.4575
28.347,3.2,0.099,32,7.4575
28.446,3.4,0.363,34,14.915
28.809,3.5,0.528,35,7.4575
29.337,4.6,0.066,46,10.03856097
29.403,4.7,0.429,47,7.4575
29.832,3.7,0.033,37,6.72
29.865,3.8,0.165,38,7.4575
30.03,3.6,0.066,36,14.915
30.096,3.5,0.066,35,7.4575
30.162,4.4,0.264,44,10.03856097
30.426,4.5,0.033,45,7.4575
30.459,5.5,0.198,55,6.72
30.657,5.6,0.66,56,7.4575
31.317,5.4,0.099,54,14.915
31.416,5.3,0.66,53,7.4575
32.076,5.4,0.297,54,7.4575
32.373,5.5,0.363,55,7.4575
32.736,4.5,0.198,45,6.72
32.934,4.4,0.099,44,7.4575
33.033,4.3,0.594,43,7.4575
33.627,5.3,0.165,53,6.72
33.792,4.3,0.099,43,6.72
33.891,4.4,0.066,44,7.4575
33.957,3.4,0.594,34,6.72
34.551,3.5,1.485,35,7.4575
36.036,3.7,0.066,37,14.915
36.102,4.7,0.033,47,6.72
36.135,4.8,0.759,48,7.4575
36.894,4.7,0.429,47,7.4575
37.323,4.6,0.132,46,7.4575
