,,5.709,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,47,12.045,2.5,0.099,25,7.4575,,,,,,,1.3,14,,,,3,23,21,12,17,23,21,20,23
,48,12.144,2.6,0.132,26,7.4575,,,,,,,5.4,23,,,,2,23,8,13,4,3,5,10,18
,49,12.276,2.7,0.198,27,7.4575,,,,,,,4.4,23,,,,1,23,1,14,7,2,6,9,15
,50,12.474,2.6,0.165,26,7.4575,,,,,,,3.4,17,,,,,,,,,,,,
,51,12.639,1.6,0.264,16,6.72,,,,,,,2.4,4,,,,,,,,,,,,
,52,12.903,1.7,0.33,17,7.4575,,,,,,,1.4,7,,,,,,,,,,,,
,53,13.233,1.8,0.198,18,7.4575,,,,,,,5.5,23,,,,,,,,,,,,
,54,13.431,2.7,0.066,27,10.03856097,,,,,,,4.5,23,,,,,,,,,,,,
,55,13.497,4.7,0.132,47,13.44,,,,,,,3.5,23,,,,,,,,,,,,
,56,13.629,3.7,0.033,37,6.72,,,,,,,2.5,3,,,,,,,,,,,,
,57,13.662,2.7,0.066,27,6.72,,,,,,,1.5,2,,,,,,,,,,,,
,58,13.728,2.8,0.132,28,7.4575,,,,,,,5.6,23,,,,,,,,,,,,
,59,13.86,2.7,0.132,27,7.4575,,,,,,,4.6,16,,,,,,,,,,,,
,60,13.992,3.7,0.033,37,6.72,,,,,,,3.6,21,,,,,,,,,,,,
,61,14.025,3.6,0.033,36,7.4575,,,,,,,2.6,5,,,,,,,,,,,,
,62,14.058,4.6,0.198,46,6.72,,,,,,,1.6,6,,,,,,,,,,,,
,63,14.256,9.9,0.693,99,,,,,,,,5.7,23,,,,,,,,,,,,
,64,14.949,3.6,0.033,36,,,,,,,,4.7,18,,,,,,,,,,,,
,65,14.982,2.7,0.033,27,10.03856097,,,,,,,3.7,20,,,,,,,,,,,,
,66,15.015,1.7,0.132,17,6.72,,,,,,,2.7,10,,,,,,,,,,,,
,67,15.147,1.8,0.066,18,7.4575,,,,,,,1.7,9,,,,,,,,,,,,
,68,15.213,0,0.132,0,,,,,,,,5.8,23,,,,,,,,,,,,
,69,15.345,9.9,0.825,99,,,,,,,,4.8,23,,,,,,,,,,,,
,70,16.17,1.5,0.099,15,,,,,,,,3.8,23,,,,,,,,,,,,
,71,16.269,1.4,0.099,14,7.4575,,,,,,,2.8,18,,,,,,,,,,,,
,72,16.368,1.3,0.066,13,7.4575,,,,,,,1.8,15,,,,,,,,,,,,
,73,16.434,1.2,1.023,12,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,17.457,2.2,0.528,22,6.72,,,,,,,,,,,,,,,,,,,,
,75,17.985,1.2,0.627,12,6.72,,,,,,,,,,,,,,,,,,,,
,76,18.612,1.3 ,0.132,13,7.4575,,,,,,,,,,,,,,,,,,,,
,77,18.744,1.2,0.132,12,7.4575,,,,,,,,,,,,,,,,,,,,
,78,18.876,2.2,0.066,22,6.72,,,,,,,,,,,,,,,,,,,,
,79,18.942,2.3,0.099,23,7.4575,,,,,,,,,,,,,,,,,,,,
,80,19.041,2.5,0.099,25,14.915,,,,,,,,,,,,,,,,,,,,
,81,19.14,1.6,0.132,16,10.03856097,,,,,,,,,,,,,,,,,,,,
,82,19.272,2.6,0.132,26,6.72,,,,,,,,,,,,,,,,,,,,
,83,19.404,2.5,0.396,25,7.4575,,,,,,,,,,,,,,,,,,,,
,84,19.8,1.5,0.033,15,6.72,,,,,,,,,,,,,,,,,,,,
,85,19.833,9.9,1.056,99,,,,,,,,,,,,,,,,,,,,,
,86,20.889,1.3,0.066,13,,,,,,,,,,,,,,,,,,,,,
,87,20.955,1.4,0.066,14,7.4575,,,,,,,,,,,,,,,,,,,,
,88,21.021,1.4,,14,,,,,,,,,,,,,,,,,,,,,
,観測時間［s］,18.711,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.02,最大移動距離,14.92,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.22,平均移動距離,7.79,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,1.77,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,8,,,,,,,,,,,,,,,,,,,,
,観察時間,18.711,秒,,9.9の秒数,4.653,,,,,,,,,,,,,,,,,,,,
,観察割合,0.994,,,0のカウント数,2,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0.231,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,4.884,,原本再生に占める9.9の割合,,0.247,,,,,,,,,,,,,,,,,,,,
