,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,任意個所の目視時間の標準偏差,,,0.76,平均移動距離,7.81,,,,,,,2.3,16,,,,4,20,17,14,18,1,12,20,20
,,,,,距離標準偏差,1.69,,,,,,,1.3,19,,,,3,20,20,7,10,2,20,20,20
,,,,,,,,,,,,,5.4,20,,,,2,20,9,16,3,11,15,13,20
,原本再生時間,23.53,秒,,9.9のカウント数,0,,,,,,,4.4,18,,,,1,20,20,19,4,8,20,20,20
,観察時間,22.765,秒,,9.9の秒数,0,,,,,,,3.4,10,,,,,,,,,,,,
,観察割合,0.967,,,0のカウント数,0,,,,,,,2.4,3,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,1.4,4,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,5.5,5,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,4.5,1,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0,,,,,,,3.5,2,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0,,,,,,,2.5,11,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,8,,,,,,,,,,,,
,,,,チェックデジット,22.765,,,,,,,,5.6,6,,,,,,,,,,,,
,,,,OK,22.765,,,,,,,,4.6,12,,,,,,,,,,,,
,,,,,22.765,,,,,,,,3.6,20,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,15,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,20,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,20,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,20,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,20,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,20,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,20,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,20,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
