,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,,,,,最少移動距離,6.72,,,,,,,2.3,16,,,,4,18,14,18,18,8,18,18,18
,任意個所の最大目視時間［s］,,,2.05,最大移動距離,23.36,,,,,,,1.3,18,,,,3,18,15,2,9,1,4,10,18
,任意個所の目視時間の標準偏差,,,0.49,平均移動距離,8.79,,,,,,,5.4,18,,,,2,18,7,16,17,13,5,3,18
,,,,,距離標準偏差,3.52,,,,,,,4.4,18,,,,1,18,18,18,18,18,18,18,18
,,,,,,,,,,,,,3.4,9,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,2.4,17,,,,,,,,,,,,
,観察時間,18.645,秒,,9.9の秒数,0,,,,,,,1.4,18,,,,,,,,,,,,
,観察割合,0.991,,,0のカウント数,0,,,,,,,5.5,11,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,4.5,8,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,3.5,1,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,2.5,13,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,1.5,18,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,5.6,18,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,18,,,,,,,,,,,,
,,,,チェックデジット,18.645,,,,,,,,3.6,4,,,,,,,,,,,,
,,,,OK,18.645,,,,,,,,2.6,5,,,,,,,,,,,,
,,,,,18.645,,,,,,,,1.6,18,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,18,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,18,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,3,,,,,,,,,,,,
終了時刻,,,,,,,,,,,,,1.7,18,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,18,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,18,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,18,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,18,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,18,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
