エラー,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.3,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.3,#DIV/0!,,,,,1,2,3,4,5,6,7,8
,,,,,,,,,,,,,3.3,#DIV/0!,,,,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,2.3,#DIV/0!,,,,4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,1.3,#DIV/0!,,,,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,5.4,#DIV/0!,,,,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,4.4,#DIV/0!,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,3.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
