エラー,,21.181,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,56,32.142,0,0.198,0,,,,,,,,2.5,11,,,,,,,,,,,,
,57,32.34,9.9,0.193,99,,,,,,,,1.5,15,,,,,,,,,,,,
,58,32.533,9.9,,99,,,,,,,,5.6,15,,,,,,,,,,,,
,観測時間［秒］,28.743,,,,,,,,,,,4.6,15,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,3.6,15,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.02,最大移動距離,16.36,,,,,,,2.6,11,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.96,平均移動距離,8.83,,,,,,,1.6,15,,,,,,,,,,,,
,,,,,距離標準偏差,3.11,,,,,,,5.7,15,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,15,,,,,,,,,,,,
,原本再生時間,28.245,秒,,9.9のカウント数,10,,,,,,,3.7,15,,,,,,,,,,,,
,観察時間,28.743,秒,,9.9の秒数,20.988,,,,,,,2.7,15,,,,,,,,,,,,
,観察割合,1.018,,,0のカウント数,3,,,,,,,1.7,15,,,,,,,,,,,,
,,,,,0の秒数,1.716,,,,,,,5.8,15,,,,,,,,,,,,
,総ロスト時間［秒］,22.704,,原本再生に占める9.9の割合,,0.743,,,,,,,4.8,15,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.804,,観察時間に占める9.9の割合,,0.730,,,,,,,3.8,15,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.790,,原本再生に占める0の割合,,0.061,,,,,,,2.8,15,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.060,,,,,,,1.8,15,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,チェックデジット,6.039,,,,,,,,,,,,,,,,,,,,,
,,,,NG,6.039,,,,,,,,,,,,,,,,,,,,,
,,,,,6.039,,,,,,,,,,,,,,,,,,,,,
