エラー,,30.517,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,55,22.803,1.4,0.1,14,,,,,,,,3.5,13,,,,,,,,,,,,
,56,22.903,1.3,0.527,13,7.4575,,,,,,,2.5,11,,,,,,,,,,,,
,57,23.43,9.9,0.99,99,,,,,,,,1.5,9,,,,,,,,,,,,
,58,24.42,1.3,0.066,13,,,,,,,,5.6,19,,,,,,,,,,,,
,59,24.486,0,0.264,0,,,,,,,,4.6,19,,,,,,,,,,,,
,60,24.75,9.9,0.297,99,,,,,,,,3.6,8,,,,,,,,,,,,
,61,25.047,1.3,0.198,13,,,,,,,,2.6,15,,,,,,,,,,,,
,62,25.245,9.9,1.716,99,,,,,,,,1.6,14,,,,,,,,,,,,
,63,26.961,0,0.363,0,,,,,,,,5.7,19,,,,,,,,,,,,
,64,27.324,1.5,0.264,15,,,,,,,,4.7,19,,,,,,,,,,,,
,65,27.588,2.5,0.066,25,6.72,,,,,,,3.7,19,,,,,,,,,,,,
,66,27.654,2.6,0.33,26,7.4575,,,,,,,2.7,19,,,,,,,,,,,,
,67,27.984,3.6,0.561,36,6.72,,,,,,,1.7,12,,,,,,,,,,,,
,68,28.545,3.4,0.033,34,14.915,,,,,,,5.8,19,,,,,,,,,,,,
,69,28.578,2.3,0.297,23,10.03856097,,,,,,,4.8,19,,,,,,,,,,,,
,70,28.875,1.4,0.066,14,10.03856097,,,,,,,3.8,19,,,,,,,,,,,,
,71,28.941,1.3,0.264,13,7.4575,,,,,,,2.8,18,,,,,,,,,,,,
,72,29.205,1.4,0.099,14,7.4575,,,,,,,1.8,19,,,,,,,,,,,,
,73,29.304,1.3,0.132,13,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,29.436,1.4,0.198,14,7.4575,,,,,,,,,,,,,,,,,,,,
,75,29.634,9.9,0.561,99,,,,,,,,,,,,,,,,,,,,,
,76,30.195,1.4 ,0.429,14,,,,,,,,,,,,,,,,,,,,,
,77,30.624,1.3,0.099,13,7.4575,,,,,,,,,,,,,,,,,,,,
,78,30.723,0,0.033,0,,,,,,,,,,,,,,,,,,,,,
,79,30.756,9.9,0.264,99,,,,,,,,,,,,,,,,,,,,,
,80,31.02,0,0.429,0,,,,,,,,,,,,,,,,,,,,,
,81,31.449,9.9,1.683,99,,,,,,,,,,,,,,,,,,,,,
,82,33.132,2.2,0.165,22,,,,,,,,,,,,,,,,,,,,,
,83,33.297,2.3,0.132,23,7.4575,,,,,,,,,,,,,,,,,,,,
,84,33.429,9.9,0.429,99,,,,,,,,,,,,,,,,,,,,,
,85,33.858,1.3,0.066,13,,,,,,,,,,,,,,,,,,,,,
,86,33.924,2.2,0.495,22,10.03856097,,,,,,,,,,,,,,,,,,,,
,87,34.419,1.4,-0.998,14,16.35896161,,,,,,,,,,,,,,,,,,,,
,88,33.421,9.9,0.792,99,,,,,,,,,,,,,,,,,,,,,
,89,34.213,1.3,0.528,13,,,,,,,,,,,,,,,,,,,,,
,90,34.741,2.4,0.066,24,10.03856097,,,,,,,,,,,,,,,,,,,,
,91,34.807,3.4,0.099,34,6.72,,,,,,,,,,,,,,,,,,,,
,92,34.906,4.5,0.165,45,10.03856097,,,,,,,,,,,,,,,,,,,,
,93,35.071,3.5,0.231,35,6.72,,,,,,,,,,,,,,,,,,,,
,94,35.302,2.5,0.023,25,6.72,,,,,,,,,,,,,,,,,,,,
,95,35.325,2.4,0.241,24,7.4575,,,,,,,,,,,,,,,,,,,,
,96,35.566,1.4,0.132,14,6.72,,,,,,,,,,,,,,,,,,,,
,97,35.698,2.4,0.693,24,6.72,,,,,,,,,,,,,,,,,,,,
,98,36.391,1.4,0.165,14,6.72,,,,,,,,,,,,,,,,,,,,
,99,36.556,9.9,0.495,99,,,,,,,,,,,,,,,,,,,,,
,100,37.051,1.4,0.264,14,,,,,,,,,,,,,,,,,,,,,
,101,37.315,9.9,0.264,99,,,,,,,,,,,,,,,,,,,,,
,102,37.579,1.4,0.297,14,,,,,,,,,,,,,,,,,,,,,
,103,37.876,1.3,0.627,13,7.4575,,,,,,,,,,,,,,,,,,,,
,104,38.503,9.9,0.99,99,,,,,,,,,,,,,,,,,,,,,
,105,39.493,1.4,0.165,14,,,,,,,,,,,,,,,,,,,,,
,106,39.658,9.9,0.693,99,,,,,,,,,,,,,,,,,,,,,
,107,40.351,1.3,0.099,13,,,,,,,,,,,,,,,,,,,,,
,108,40.45,2.3,0.277,23,6.72,,,,,,,,,,,,,,,,,,,,
,109,40.727,1.3,0.185,13,6.72,,,,,,,,,,,,,,,,,,,,
,110,40.912,9.9,0.858,99,,,,,,,,,,,,,,,,,,,,,
,111,41.77,1.3,0.033,13,,,,,,,,,,,,,,,,,,,,,
,112,41.803,0,0.264,0,,,,,,,,,,,,,,,,,,,,,
,113,42.067,2.3,0.033,23,,,,,,,,,,,,,,,,,,,,,
,114,42.1,4.4,0.099,44,15.37035804,,,,,,,,,,,,,,,,,,,,
,115,42.199,3.4,0.033,34,6.72,,,,,,,,,,,,,,,,,,,,
,116,42.232,2.4,0.033,24,6.72,,,,,,,,,,,,,,,,,,,,
,117,42.265,1.4,0.198,14,6.72,,,,,,,,,,,,,,,,,,,,
,118,42.463,0,0.165,0,,,,,,,,,,,,,,,,,,,,,
,119,42.628,9.9,0.726,99,,,,,,,,,,,,,,,,,,,,,
,120,43.354,1.5,0.165,15,,,,,,,,,,,,,,,,,,,,,
,121,43.519,9.9,0.264,99,,,,,,,,,,,,,,,,,,,,,
,122,43.783,1.5,0.066,15,,,,,,,,,,,,,,,,,,,,,
,123,43.849,1.4,0.198,14,7.4575,,,,,,,,,,,,,,,,,,,,
,124,44.047,1.3,0.198,13,7.4575,,,,,,,,,,,,,,,,,,,,
,125,44.245,1.4,0.066,14,7.4575,,,,,,,,,,,,,,,,,,,,
,126,44.311,2.5,0.198,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,127,44.509,3.6,0.66,36,10.03856097,,,,,,,,,,,,,,,,,,,,
,128,45.169,3.5,0.165,35,7.4575,,,,,,,,,,,,,,,,,,,,
,129,45.334,9.9,0.33,99,,,,,,,,,,,,,,,,,,,,,
,130,45.664,3.5,0.099,35,,,,,,,,,,,,,,,,,,,,,
,131,45.763,9.9,2.178,99,,,,,,,,,,,,,,,,,,,,,
,132,47.941,2.4,0.066,24,,,,,,,,,,,,,,,,,,,,,
,133,48.007,1.3,0.165,13,10.03856097,,,,,,,,,,,,,,,,,,,,
,134,48.172,9.9,6.6,99,,,,,,,,,,,,,,,,,,,,,
,135,54.772,0,0.231,0,,,,,,,,,,,,,,,,,,,,,
,136,55.003,1.3,0.297,13,,,,,,,,,,,,,,,,,,,,,
,137,55.3,9.9,0.256,99,,,,,,,,,,,,,,,,,,,,,
,138,55.556,9.9,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［s］,54.64,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,6.60,最大移動距離,16.36,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.76,平均移動距離,8.20,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,2.16,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,26,,,,,,,,,,,,,,,,,,,,
,観察時間,54.64,秒,,9.9の秒数,30.987,,,,,,,,,,,,,,,,,,,,
,観察割合,0.999,,,0のカウント数,13,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,2.31,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,33.297,,原本再生に占める9.9の割合,,0.566,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.609,,観察時間に占める9.9の割合,,0.567,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.609,,原本再生に占める0の割合,,0.042,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.042,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,21.343,,,,,,,,,,,,,,,,,,,,,
,,,,OK,21.343,,,,,,,,,,,,,,,,,,,,,
,,,,,21.343,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
