,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,46,17.589,2.3,0.495,23,10.03856097,,,,,,,2.3,5,,,,4,19,19,10,12,11,19,19,19
,47,18.084,2.5,0.066,25,14.915,,,,,,,1.3,13,,,,3,19,19,19,7,18,9,19,19
,48,18.15,2.6,0.231,26,7.4575,,,,,,,5.4,19,,,,2,19,17,5,6,2,3,1,19
,49,18.381,2.7,1.089,27,7.4575,,,,,,,4.4,12,,,,1,19,16,13,14,14,8,4,19
,50,19.47,1.7,0.561,17,6.72,,,,,,,3.4,7,,,,,,,,,,,,
,51,20.031,1.6,0.462,16,7.4575,,,,,,,2.4,6,,,,,,,,,,,,
,52,20.493,2.5,0.066,25,10.03856097,,,,,,,1.4,14,,,,,,,,,,,,
,53,20.559,2.4,0.264,24,7.4575,,,,,,,5.5,19,,,,,,,,,,,,
,54,20.823,2.3,0.462,23,7.4575,,,,,,,4.5,11,,,,,,,,,,,,
,55,21.285,2.4,0.066,24,7.4575,,,,,,,3.5,18,,,,,,,,,,,,
,56,21.351,3.4,0.066,34,6.72,,,,,,,2.5,2,,,,,,,,,,,,
,57,21.417,3.5,0.297,35,7.4575,,,,,,,1.5,14,,,,,,,,,,,,
,58,21.714,2.5,0.231,25,6.72,,,,,,,5.6,19,,,,,,,,,,,,
,59,21.945,3.5,0.077,35,6.72,,,,,,,4.6,19,,,,,,,,,,,,
,60,22.022,3.5,,,,,,,,,,3.6,9,,,,,,,,,,,,
,観測時間［秒］,18.942,,,,,,,,,,,2.6,3,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.6,8,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.18,最大移動距離,23.36,,,,,,,5.7,19,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.41,平均移動距離,8.24,,,,,,,4.7,19,,,,,,,,,,,,
,,,,,距離標準偏差,2.78,,,,,,,3.7,19,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,1,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,1.7,4,,,,,,,,,,,,
