,0.792,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,53,15.543,1.6,0.462,16,7.4575,,,,,,,5.5,20,,,,,,,,,,,,
,54,16.005,2.6,0.198,26,6.72,,,,,,,4.5,12,,,,,,,,,,,,
,55,16.203,2.5,0.033,25,7.4575,,,,,,,3.5,10,,,,,,,,,,,,
,56,16.236,3.4,0.462,34,10.03856097,,,,,,,2.5,2,,,,,,,,,,,,
,57,16.698,3.5,0.363,35,7.4575,,,,,,,1.5,17,,,,,,,,,,,,
,58,17.061,4.5,0.066,45,6.72,,,,,,,5.6,20,,,,,,,,,,,,
,59,17.127,4.4,0.495,44,7.4575,,,,,,,4.6,20,,,,,,,,,,,,
,60,17.622,3.4,0.066,34,6.72,,,,,,,3.6,20,,,,,,,,,,,,
,61,17.688,2.4,0.132,24,6.72,,,,,,,2.6,3,,,,,,,,,,,,
,62,17.82,3.4,0.132,34,6.72,,,,,,,1.6,1,,,,,,,,,,,,
,63,17.952,2.4,0.066,24,6.72,,,,,,,5.7,20,,,,,,,,,,,,
,64,18.018,2.3,0.132,23,7.4575,,,,,,,4.7,20,,,,,,,,,,,,
,65,18.15,1.3,0.132,13,6.72,,,,,,,3.7,20,,,,,,,,,,,,
,66,18.282,1.4,0.132,14,7.4575,,,,,,,2.7,20,,,,,,,,,,,,
,67,18.414,1.5,0.099,15,7.4575,,,,,,,1.7,6,,,,,,,,,,,,
,68,18.513,1.6,0.429,16,7.4575,,,,,,,5.8,20,,,,,,,,,,,,
,69,18.942,2.5,0.132,25,10.03856097,,,,,,,4.8,20,,,,,,,,,,,,
,70,19.074,2.4,0.132,24,7.4575,,,,,,,3.8,20,,,,,,,,,,,,
,71,19.206,2.3,0.165,23,7.4575,,,,,,,2.8,20,,,,,,,,,,,,
,72,19.371,2.4,0.099,24,7.4575,,,,,,,1.8,20,,,,,,,,,,,,
,73,19.47,2.5,0.396,25,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,19.866,2.4,0.264,24,7.4575,,,,,,,,,,,,,,,,,,,,
,75,20.13,2.5,0.33,25,7.4575,,,,,,,,,,,,,,,,,,,,
,76,20.46,2.4,0.165,24,7.4575,,,,,,,,,,,,,,,,,,,,
,77,20.625,2.3,0.198,23,7.4575,,,,,,,,,,,,,,,,,,,,
,78,20.823,2.4,0.033,24,7.4575,,,,,,,,,,,,,,,,,,,,
,79,20.856,2.5,0.066,25,7.4575,,,,,,,,,,,,,,,,,,,,
,80,20.922,2.6,0.099,26,7.4575,,,,,,,,,,,,,,,,,,,,
,81,21.021,2.6,,26,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,18.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.68,最大移動距離,16.36,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.26,平均移動距離,7.91,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,1.67,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,0,,,,,,,,,,,,,,,,,,,,
,観察時間,18.81,秒,,9.9の秒数,0,,,,,,,,,,,,,,,,,,,,
,観察割合,1.000,,,0のカウント数,0,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,18.810,,,,,,,,,,,,,,,,,,,,,
,,,,OK,18.810,,,,,,,,,,,,,,,,,,,,,
,,,,,18.810,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
